name,text,price,label
Grande Caesar Salad,,9.95,0
Medium 16 oz. Green Mayo Smoothie,,4.75,0
Iced Tea,"Brewed fresh daily, our Iced Tea pairs seamlessly with many menu favorites. Also available in unsweetened iced tea.",0,0
Specialty Pretzel,Jalapeno cheese and Dutch almond.,3.75,0
Broccoli Bites with Cheese,Twelve pieces.,5.99,0
Green Salad,"Comes with lettuce, tomatoes, onions, pickles, and shredded cheese.",5.49,0
Gyoza,"Potstickers fried, with spicy ponzu sauce.",8.7,0
Flan,Price for regular size.,2.25,0
Bengali Gluab Jamun,Pastry ball made from milk dough fried until golden brown and served in sugary syrup with cardamom. Topped with cocoa and a hint of coconut.,2.99,0
Double Bacon Breakfast SOURDOUGH KINGâ¢ Meal,"Introducing theÂ Smoked Double BaconÂ Breakfast SOURDOUGH KINGâ¢ made with double the portion of thick cut naturally smoked bacon, two helpings of melted American cheese and piled high with two fluffy eggs; all on our sourdough bun. Meal comes in medium and large sizes. Your choice of Hash Browns and a Drink.",0,0
12 oz. Canned Soda,,0.99,0
Antipasto Salad,,8.95,0
S5. Hunan Triple,"White meat chicken, beef, shrimp with hot spicy Hunan sauce. Served with your choice of rice. Hot and spicy.",10.85,0
Breakfast Salsa,,0,1
Orange Juice,15.2 oz Bottle of TropicanaÂ® Orange Juice.,1.99,0
Sweetwater Catfish Fingers Appetizer,Tender strips lightly-breaded with Cajun-seasoned cornmeal and flash-fried. Served with rÃ©moulade and JalapeÃ±o Sweet & Sour sauces on the side.,8.69,0
Matcha Latte,"Matcha with steamed milk, unsweetened",4.5,0
Amore Tostada,"Herb rawtilla topped with marinara, almond cheese, pesto and bruschetta tomatoes.",0,1
Fresh Tea,,0,0
5 Jalapeno Poppers,With side of ranch sauce.,5.95,0
Green Day Salad,"Arugula, goat cheese, raddichio, candied sunflower seeds, tomato and pineapple dressing.",11,0
Tehini,Served with 1 pita bread.,4.95,0
Lemon and Orange Pellegrino,Large.,2.99,0
A33. Tuna Tartare,,12,0
Salmon Dinner Side,,6,0
Turkey Club Wrap,"Our famous roasted turkey breast, crisp bacon, iceberg lettuce, juicy tomatoes, and a touch of mayonnaise. Make with our bakery fresh lavash wrap. Served with a bag of kettle cooked potato chips.",10.49,1
Soft Taco Party Pack 12,Includes 12 Soft Tacos,16.39,0
Chips and Queso,Creamy velvety house-made queso served with corn and flour tortilla chips.,6.49,0
Peanut Sauce,,0,0
24. Borscht Soup,,11,0
Gulab Jamun,,2.99,0
4. Pot Stickers,6 piece.,7.95,0
Boiled Edmmamies,,4.95,0
Combination Appetizer,"A combination plate of Buffalo chicken wings, stuffed jalapenos and potato wedges.",9.75,0
Carrot Cake,,2.99,0
Crunchy Taco SupremeÂ®,"A crunchy taco shell filled with seasoned beef, cool sour cream, crispy lettuce, shredded cheddar cheese and ripe tomatoes.",2.19,1
Meatball Sliders,"Our Italian, all beef meatballs, melted provolone cheese and marinara sauce. Served on mini rolls.",8.99,0
Lentil Soup,Served with fried pita chips and fresh lemon.,4.29,0
34. Manti,4 pieces on plate.,16.6,0
Seaweed Salad,,5,0
Baklava,,4.5,0
Small Coffee,,1.25,0
Italian Cobb Salad,"Mixed  greens, grilled chicken, salami, mozzarella, Roma tomatoes and garbanzo beans in Italian vinaigrette.",11.5,0
3. Shrimp Rolls,"Deep fried spring rolls stuffed with marinated shrimp, served with sweet and sour sauce.",8,0
Ice Tea,,3.5,0
Orange Gatorade,,2.25,0
3 Flavor Sizzling Rice Soup for 2,,6.99,0
Jarrito - Lemon/Lime,Great Tasting and Authentically Mexican Flavors,2.5,0
Licuado Milk Shake,,3.95,0
Garlic Bread with Mozzarella Cheese,,5,0
Mashed Potatoes,,4,0
Chips and Pico De Gallo,Nacho chips served with a side of pico de gallo.,1.59,0
Dinner Salad,"With tomatoes, cucumbers, green peppers and onions.",3.25,0
Meat Ravioli,Includes garlic bread and your choice sauce.,7.95,1
Coca Cola (2 Liter - 24 Hours Notice Required),Available at lunch for advanced orders only!  Need them short notice? Please call for availability.,2.75,0
South Jersey Cheese Steak Sandwich,"A tavern favorite with green pepper, onion, mushroom and white American cheese.",9.25,1
Quesadilla,Filled with cheese and pico de gallo. Served with sour cream and guacamole.,8.59,0
Down-N-Dirty Rice,,2.69,0
Pan Seared Polenta Cakes Appetizer,Creamy corn polenta with truffle tomatoes sauce.,8,1
Kanikama Salad,"Crabmeat, tobiko, cucumber and mayo dressing. Raw.",8,0
Hamachi Yuzu Sashimi,"Hamachi, togarashi, and pico de gallo.",8.45,1
Medium Beverage,Select an ice-cold beverage,1.99,0
Cheddar Cheese Hash Browns,,3.79,0
Hot Tea,,0,0
Soda Pops,,1,0
Crispy Colonel Combo,"A Crispy Colonel Sandwich, available in Extra Crispy, Smoky Mountain BBQ, Georgia Gold, or Nashville Hot, 1 side of your choice, and a medium drink",0,1
Dasani Water,,2.59,0
SupremeÂ® Taco Party Pack,Your choice of 12 of the following tacos: Crunchy or Soft Taco SupremesÂ®.,21.49,0
Chicken Egg Rolls (2),,4.35,0
